Study Name	IronIrradiated_Fe3plus
Sample Name	2022-01-04
Run Name	baseline
Operator	Angus
Date	1/4/2022
Time	12:30
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	12:30:57
	
Time	Amplitude
3.550000E-8	-1.747224E-4
3.555000E-8	-2.500922E-4
3.560000E-8	-2.843512E-4
3.565000E-8	-2.535181E-4
3.570000E-8	-1.764353E-4
3.575000E-8	-8.907489E-5
3.580000E-8	3.768342E-5
3.585000E-8	1.610158E-4
3.590000E-8	3.100425E-4
3.595000E-8	4.111065E-4
3.600000E-8	5.395778E-4
3.605000E-8	6.320771E-4
3.610000E-8	6.903174E-4
3.615000E-8	7.331411E-4
3.620000E-8	7.434188E-4
3.625000E-8	7.280023E-4
3.630000E-8	6.886044E-4
3.635000E-8	6.492066E-4
3.640000E-8	5.395778E-4
3.645000E-8	4.042547E-4
3.650000E-8	2.912000E-4
3.655000E-8	1.781453E-4
3.660000E-8	5.823882E-5
3.665000E-8	-1.884393E-5
3.670000E-8	-9.421374E-5
3.675000E-8	-1.404634E-4
3.680000E-8	-2.106943E-4
3.685000E-8	-2.363886E-4
3.690000E-8	-2.483792E-4
3.695000E-8	-2.500922E-4
3.700000E-8	-2.192591E-4
3.705000E-8	-1.850001E-4
3.710000E-8	-1.062044E-4
3.715000E-8	-4.625114E-5
3.720000E-8	1.711466E-6
3.725000E-8	8.563266E-6
3.730000E-8	1.541507E-5
3.735000E-8	-3.427384E-6
3.740000E-8	-6.338064E-5
3.745000E-8	-1.164821E-4
3.750000E-8	-1.987037E-4
3.755000E-8	-2.672217E-4
3.760000E-8	-3.151843E-4
3.765000E-8	-3.699987E-4
3.770000E-8	-4.093965E-4
3.775000E-8	-4.487944E-4
3.780000E-8	-4.590721E-4
3.785000E-8	-5.087476E-4
3.790000E-8	-5.858304E-4
3.795000E-8	-6.406448E-4
3.800000E-8	-7.023110E-4
3.805000E-8	-7.588384E-4
3.810000E-8	-8.050880E-4
3.815000E-8	-8.222175E-4
3.820000E-8	-8.393470E-4
3.825000E-8	-8.564765E-4
3.830000E-8	-8.616154E-4
3.835000E-8	-8.359211E-4
3.840000E-8	-7.793938E-4
3.845000E-8	-7.005981E-4
3.850000E-8	-6.183765E-4
3.855000E-8	-5.121735E-4
